Place_name,Occurrences,Plays
San Dionís,16,11
Palestina,16,12
Olmedo,16,2
Palma del Río,16,3
Ibernia,16,1
Lusitania,15,10
Astorga,15,11
Potosí,15,11
Etna,15,15
Cuenca,15,13
Tormes,15,8
Moncayo,15,11
Líbano,15,14
Fenicia,15,12
Danubio,15,13
Numancia,14,10
Peñón de Vélez de la Gomera,14,5
La Mancha,14,13
Villena,14,7
Aranjuez,14,7
Las Batuecas,14,1
Santa Fe,14,3
Namur,14,7
Pavía,14,5
La Vega de Toledo,14,6
Real Alcázar de Madrid,14,9
Gran Canaria,14,2
Nicosia,14,1
Duero,13,11
Cáucaso,13,13
Alpes,13,11
Corinto,13,7
Lepanto,13,7
Arles,13,5
Albaicín,13,8
Bibarrambla,13,7
San Martín de Valdeiglesias,13,7
Bélmez,13,1
Martos,13,6
Moraña,13,1
Antequera,12,8
Vivar,12,5
Convento de San Felipe el Real,12,4
Zelanda,12,6
Leganés,12,3
Navas,12,4
Tarudante,12,7
Calahorra,12,3
Cambrai,12,5
Guinea,12,9
Provenza,12,6
Cabra,12,5
Ferrol,12,4
Isla Tercera,12,2
Extremadura,11,9
Noruega,11,9
Sajonia,11,7
Laberinto de Creta,11,2
Monasterio de Monserrat,11,7
La Rochela,11,8
Tesalia,11,10
Almería,11,11
Bayona,11,8
Vitoria,11,10
Salas,11,1
Ciudad Rodrigo,11,6
Alcalá,11,6
Roncesvalles,11,3
Bibataubín,11,7
Suecia,11,4
Viseo,11,3
Rodas,11,7
Castellón,11,1
Calatrava,11,3
Castilla y León,10,9
La Habana,10,10
Fuenterrabía,10,6
Ceilán,10,9
Baza,10,5
Algarve,10,7
Fraga,10,1
Media,10,5
Hircania,10,9
Castillo de Chincoya,10,1
Hipona,10,3
Narbona,10,8
Dinádamar,10,7
Epiro,10,5
Villaverde,10,1
Iznatorafe,10,1
Nínive,10,2
Amalfi,10,1
Catania,10,1
Jatelete,10,1
Siquén,10,2
La Mamora,10,1
Guadalajara,9,7
Trípoli,9,7
Melilla,9,8
Alpujarras,9,8
Plaza de Zocodover,9,9
Coria,9,6
Sagunto,9,8
Farsalia,9,9
Océano Atlántico,9,7
Lérida,9,2
Nueva España,9,4
Antártico,9,7
Lieja,9,3
Damasco,9,9
Ronda,9,5
Santángel,9,7
Urgel,9,4
Colonia,9,6
Loreto,9,9
Ancona,9,3
Coimbra,9,5
Morón,9,1
Sarria,9,3
Vega de Granada,9,5
Numidia,9,6
Lesbos,9,1
Tracia,9,5
Catay,9,4
Castillo de Zurita,9,1
Peñalén,9,1
Templo de Vesta,8,5
Olías,8,3
San Juan de Aznalfarache,8,5
Castillo de San Cervantes,8,5
Amberes,8,4
Sierra Nevada,8,7
Ostia,8,5
Turia,8,5
Bujía,8,5
Adamuz,8,4
Buda,8,4
Rin,8,7
Calle de los Gomeles,8,4
Roremonda,8,1
Tablada,8,5
Zacatín,8,6
Dacia,8,3
Ribadeo,8,3
Haití,8,1
Plaza de San Marcos,8,5
Guadiana,7,6
Cólquida,7,4
Baeza,7,5
San Miguel el Alto,7,4
Cesaraugusta,7,5
Monte Parnaso,7,7
Tetuán,7,4
Colibre,7,6
Vinaròs,7,6
Saldaña,7,5
Béjar,7,6
Arcila,7,4
Osuna,7,5
Dueñas,7,3
Pescara,7,2
Iberia,7,2
San Andrés,7,3
Japón,7,7
Castillo de San Geán,7,1
Carmona,7,6
Rusia,7,3
Cabildo de Sevilla,7,1
Ayamonte,7,5
Famagusta,7,2
Brandenburgo,7,5
Galilea,7,5
Teruel,7,2
Rueda,7,1
Bahamas,6,6
Galia,6,5
Ginebra,6,6
Torre del Oro,6,5
Saba,6,6
San Sebastián,6,4
Asti,6,3
América,6,5
Tarifa,6,5
Océano Índico,6,6
Orgaz,6,3
Guadalete,6,6
Barbadillo,6,1
Arlanza,6,4
Guadalupe,6,6
Mazagán,6,3
Azamor,6,6
Trujillo,6,3
Santillana,6,5
Alcántara,6,6
Tolosa (Francia),6,4
Turín,6,3
Niza,6,2
Mar Mediterráneo,6,6
Algeciras,6,5
Gaeta,6,5
Móstoles,6,2
Trapobana,6,6
Segorbe,6,4
Torres Bermejas,6,3
Torre de Comares,6,4
Montilla,6,5
Monviedro,6,4
Torrejón,6,2
Samaria,6,5
Mesopotamia,6,3
Otero,6,1
La Vera,6,2
Ardea,6,1
Sangüesa,6,1
Convento de Santa María de Jesús,6,1
Gradas,6,4
Aveiro,6,1
Viana,6,3
Convento de San Jerónimo el Real,5,5
Monte Látmo,5,5
Iglesia de San Román,5,2
El Escorial,5,4
Lemos,5,5
Mar del Sur,5,5
Lacedemonia,5,5
Capitolio,5,2
Miño,5,4
Argos,5,5
Almazán,5,5
Antioquia,5,5
Cardona,5,4
La Coruña,5,5
Montes Claros,5,4
Almenar,5,1
Susa,5,4
Tafilete,5,5
Candia,5,4
San Ponce de Tomaras,5,1
La Sagra ,5,2
Huerta del Rey,5,4
San Martín,5,3
Aranda,5,3
Gelves,5,6
Tortosa,5,5
Lucemburque,5,3
Alfaques,5,4
Almagro,5,2
Maguncia,5,3
Mar Bermejo,5,5
Menfis,5,5
Ragés,5,1
Fráncfort,5,1
Corfú,5,3
Valle de Carriedo,5,5
Generalife,5,2
Arjona,5,3
Bura,5,1
Cilia,5,1
Priego,5,2
Iglesia de San Sebastián,4,2
Alcolea,4,4
Bermudas,4,4
Abrañigal,4,1
Alcorcón,4,4
Monte Atlas,4,4
Otranto,4,2
Sahagún,4,4
Alcalá la Real,4,1
Castilnovo,4,3
Perú,4,5
Tarragona,4,4
Sena,4,4
Convento de la Concepción,4,4
Purén,4,1
Nájera,4,4
Altamira,4,4
Gandía,4,3
Valdecorneja,4,3
Requena,4,3
Caramanchel,4,4
San Luis,4,3
Lugo,4,4
Tíbar,4,4
Bari,4,1
Bahía,4,1
Monasterio de San Benito,4,1
Valle de Mambré,4,2
Río de la Plata,4,3
Irún,4,3
Biarne,4,4
Santa Leocadia,4,1
Nitria,4,1
Gaza,4,4
Escalona,4,3
Trapisonda,4,4
Mirabel,4,3
Puerta de Guadalajara y Platería,4,4
Aquisgrán,4,3
Monforte,4,3
Ribadavia,4,3
Sil,4,2
Britania,4,4
Dauro,4,2
Java,4,4
Piamonte,4,3
Marbella,4,3
Bibalmazán,4,4
Nuestra Señora del Carmen,4,3
El Carmen,4,1
Santa María de la Almudena,4,2
Éfeso,4,4
Convento de Nuestra Señora de la Merced,4,5
Motril,4,2
Formentera,4,4
Ibiza,4,4
Plaza Mayor,4,2
Idumea,4,3
Cedrón,4,4
Valaquia,4,2
Alcaraz,4,2
Betel,4,4
Tabor,4,3
Beamonte,4,2
Toros de Guisando,4,1
Guyana,4,1
Guanahani,4,1
Tolentino,4,1
Garganta la Olla,4,1
Cazalla de la Sierra,4,4
Termodonte,4,1
Convento de la Santísima Trinidad,3,2
Erimanto,3,3
Estremoz,3,3
Úbeda,3,3
Puerta de la Vega,3,2
Archipiélago,3,3
Morea,3,2
Carrión,3,2
Arenal,3,3
Basílica de Nuestra Señora del Pilar,3,2
Iglesia de Santa María Magdalena,3,3
Cubagua,3,3
Puerta de Bisagra,3,3
Algaba,3,3
Capua,3,3
Apeninos,3,3
Po,3,3
Orléans,3,2
Monte Tauro,3,3
La Zarza,3,2
Cabo de Buena Esperanza,3,3
Las Cuevas,3,3
Sesa,3,3
Gibraleón,3,3
Orange,3,3
Melfi,3,2
Feria,3,3
Basílica de San Pedro,3,3
Villafranca,3,3
Monte Carmelo,3,3
Guadix,3,3
La Goleta,3,2
Alarache,3,2
Velada,3,3
Fuente Castellana,3,1
Chirinola,3,2
Caramania,3,3
Anatolia,3,3
Tambico,3,3
Plaza de la Olivera,3,3
Almansa,3,3
Aqueronte,3,3
Las Palmas,3,2
Somosierra,3,3
Ártico,3,3
Manresa,3,1
Tolosa,3,3
Caria,3,3
Moab,3,3
La Sisla,3,2
Vasto,3,1
Calle del Prado,3,2
Guipúzcoa,3,2
Faura,3,2
Almonte,3,2
Loja,3,2
San Salvador de Oviedo,3,3
Cholula,3,1
Montefiascone,3,1
Ribagorza,3,3
Medellín,3,3
Calle de Toledo,3,3
Puerta del Sol,3,3
El Pardo,3,4
Cracovia,3,3
Eufrates,3,3
San Juan de Luz,3,3
Almodóvar,3,3
Hornachuelos,3,3
Paros,3,3
Plemúa,3,2
Malaca,3,2
Ponto,3,3
Calais,3,3
Esparta,3,3
Sambra,3,2
Alaejos,3,3
Mauritania,3,3
Vandalia,3,3
San Miguel,3,3
Languedoc,3,3
Orihuela,3,3
San Juan,3,3
Monte Olimpo,3,3
Manzofa,3,1
La Seo,3,2
Almenara,3,3
Cañete,3,3
Puzol,3,3
Lanzarote,3,2
Oliva,3,2
Lorena,3,2
Oropesa,3,3
Monte Galaad,3,3
Germania,3,3
Congo,3,3
Baviera,3,3
Medinaceli,3,3
Girona,3,2
Santarén,3,2
Manicongo,3,3
La Guardia,3,2
Mar Tonta,3,1
Soria,3,2
Palacios de Galiana,3,3
Marne,3,3
Picardía,3,3
Montes de Toledo,3,2
Castillo de Consuegra,3,1
Briviesca,3,1
Gales,3,1
Emaús,3,2
Asís,3,1
Viterbo,3,1
Calle de Francos,3,2
Harán,3,2
Saona,3,3
Rastro,3,3
Carpio,3,2
Montes Marianos,2,2
Tarraconense,2,1
Bética,2,1
Tafalla,2,2
Cabañas de la Sagra,2,1
Tejares,2,1
Villalonso,2,2
San Juan de la Palma,2,1
Castilleja,2,2
Guadalcazar,2,2
Catedral Primada de Toledo,2,2
Los Vélez,2,2
Peloro,2,2
Parténope,2,2
monte Celio,2,2
Pausílipo,2,2
Benamarín,2,2
Finisterre,2,2
La Florida,2,2
Fuente del Saúco,2,2
Baños de la Reina Mora,2,2
Concepción,2,1
Fuerte de Penco,2,1
Valle de Angol,2,1
Cerro de Andalicán,2,1
Ancud,2,1
Osorno,2,1
Calatayud,2,2
Huelva,2,2
Ariza,2,2
Miranda,2,2
Alburquerque,2,2
Cerralbo,2,2
La Laguna,2,2
Casarrubios,2,2
Oñate,2,2
Monte Atón,2,2
Petrijón,2,1
Montes de la Bureba,2,2
La Torre,2,2
Galve,2,2
Ajarquía,2,2
Peñaranda,2,1
Maluco,2,1
Pisa,2,2
Bouges,2,2
Fuensalida,2,2
Mansilla,2,2
Calle de Getafe,2,2
Basilicata,2,1
Terranova,2,2
Miraflores,2,1
Torre Tarpeya,2,2
Tabarca,2,2
Palacio de la Aljafería,2,2
Tarazona,2,1
Berlanga,2,2
Monte Calvario,2,1
Tierra Santa,2,2
Piñarolo,2,1
Aguas Muertas,2,2
Pomas,2,2
Quivira,2,2
Laredo,2,2
Mayorga,2,2
Valdemoro,2,2
Convento de Santo Domingo,2,2
Mazalquivir,2,2
Badajoz,2,2
Paredes,2,2
Palenzuela,2,2
Cirueña,2,1
Yepes,2,2
Jericó,2,2
Villahermosa,2,2
Eritrea,2,2
Convento de los Agustinos Recoletos,2,1
Amiens,2,1
Calle de Santiago,2,2
Puerta Cerrada,2,2
Bisiñano,2,2
Tigris,2,2
Tíber,2,2
Calle de los Jardines,2,1
Távora,2,1
Estepa,2,2
Castellar,2,2
Cantillana,2,2
Pisuerga,2,2
Burguillos,2,1
Guimarães,2,1
Monte Celio,2,2
Salerno,2,1
Puerto Rico,2,2
Mosa,2,2
Delfos,2,2
Covadonga,2,2
Monte Partenio,2,2
Liceo,2,2
San Ginés,2,2
Victoria,2,2
Convento de San Francisco,2,2
Saluces,2,1
Pie de Gruta,2,2
Las Yeguas,2,2
Gascuña,2,2
San Clemente,2,2
San Nicolás,2,1
Punta Delgada,2,1
Esgueva,2,2
Monte Helicón,2,2
Cabo de San Vicente,2,2
Cabo de Gata,2,2
Palamós,2,2
Tarso,2,2
Mar Caspio,2,2
Sierra de Elvira,2,2
Tréveris,2,2
Mosela,2,2
Praga,2,1
Medina de Rioseco,2,2
Alcaudete,2,2
Patmos,2,2
Henares,2,2
Ulma,2,2
Santo Tomé y Príncipe,2,2
Mozambique,2,2
Libonia,2,2
Demiata,2,2
Senir,2,2
Genel,2,2
Nebo,2,2
Lavapiés,2,2
Maqueda,2,2
Sierra Bermeja,2,2
Santander,2,2
Henao,2,2
Toscana,2,1
Sigüenza,2,2
Normandía,2,2
Andaya,2,2
Pinto,2,2
Temiscira,2,1
Palma,2,2
Biafara,2,2
Vesubio,2,2
San Antón,2,2
San Salvador,2,1
Monterrey,2,2
Huete,2,2
Vaciamadrid,2,1
Brabante,2,2
Lango,2,1
Hidaspe,2,2
Cea,2,2
Hierro,2,2
Alcaicería,2,2
Peñaflor,2,2
Geldres,2,2
Rialto,2,1
Rovigo,2,1
Cremona,2,2
Durlán,2,1
Tanais,2,2
La Roda,2,2
Funes,2,1
Arévalo,2,2
Mora,2,2
Castil David,2,1
Sofala,2,1
Belem,2,1
Melinde,2,2
Villacastín,2,2
Salinas,2,2
Poza,2,2
Caracena,2,2
Montiel,2,1
Seir,2,2
Canaán,2,2
Sierra de Capira,2,2
Hospital de Altozana,2,1
Navas de Tolosa,2,2
San Quintín,2,2
Aduana de Sevilla,2,2
Peñanegra,2,1
Peñafiel,2,2
Mérida,2,1
Malagón,2,2
Río Paraná,2,1
Argentina,2,2
Hebrón,2,2
Dotaín,2,2
Lozoya,2,2
Ratisbona,2,1
Milburgo,2,1
Bisela,2,1
Villanañe,2,1
Selaya,2,2
La Zaidía,2,2
Convento de San Marcos,2,1
Chinchón,2,2
Alcalá de Guadaíra,2,2
Tabernas de san Martín,1,1
Plaza de Antón Martín,1,1
Cangas,1,1
Euripos,1,1
Talavera de la Reina,1,1
Alamillo,1,1
Canillejas,1,1
Fuenfrida,1,1
Fuentidueña,1,1
Alameda,1,1
Basílica de la Macarena,1,1
Alcocer,1,1
Las Madalenas,1,1
La Madalena,1,1
Plaza del Ángel,1,1
Andes,1,1
Toral de los Guzmanes,1,1
Los Remedios,1,1
Tierra del Fuego,1,1
Sierra de Bullones,1,1
Torre de Sesto,1,1
Cannas,1,1
Templo de Marte,1,1
San Polo,1,1
Rens,1,1
Nantes,1,1
Vercelli,1,1
Anglisea,1,1
monte Pangeo,1,1
Peneo,1,1
Tempe,1,1
Buen Retiro,1,1
Salado,1,1
Setubal,1,1
Montpellier,1,1
Castillo de Altariva,1,1
Mangi,1,1
Atarazanas Reales de Barcelona,1,1
La Serena,1,1
Renty,1,1
Convento de la Concepción Gerónima,1,1
Talcahuano,1,1
Cayocupil,1,1
Monte Ida,1,1
Campeche,1,1
Puerta Real,1,1
San Leonardo de Alba de Tormes,1,1
Monasterio de San Bruno,1,1
Agramonte,1,1
San Miguel de los Reyes,1,1
Corella,1,1
Braga,1,1
Berga,1,1
Belda,1,1
Morata,1,1
Povera,1,1
Treviño,1,1
Pastrana,1,1
Cerda,1,1
Balterra,1,1
Arga,1,1
Calle de Alcalá,1,1
Calle del Arenal,1,1
Paradas,1,1
Fuente Aguinaldo,1,1
Saelices,1,1
Valoes,1,1
Argote,1,1
Piedrahita,1,1
Salvatierra,1,1
Navarino,1,1
Alcásova,1,1
Lagos,1,1
Alcasarquivir,1,1
Barcelos,1,1
Valdemorillo,1,1
Villamartín,1,1
Retiro,1,1
Garillano,1,1
Benavento,1,1
Abroza,1,1
Pulla,1,1
Navarrete,1,1
Taranto,1,1
Canosa,1,1
Rijoles,1,1
Villafranca del Penèdes,1,1
Monte Olivete,1,1
Santa María la Blanca,1,1
Tabladillo,1,1
Puche,1,1
Lupiana,1,1
Santa Elena,1,1
Cabo Verde,1,1
Pernambuco,1,1
Monte Sinaí,1,1
Oporto,1,1
Siracusa,1,1
Wamba,1,1
Oria,1,1
Puigcerdà,1,1
Gascueña,1,1
Sobrarbe,1,1
Daroca,1,1
Borja,1,1
Belorado,1,1
Santa Engracia del Puerto,1,1
Mar Tirreno,1,1
Panonia,1,1
Sidón,1,1
Sarepta,1,1
Tolemaida,1,1
Magedo,1,1
Lida,1,1
Arimatía,1,1
Jope,1,1
Gabaón,1,1
Monte de las Olivas,1,1
Betfagé,1,1
Guisando,1,1
Jávea,1,1
Monasterio de Peñalonga,1,1
Ermita de la Trinidad,1,1
San Blas de Villaviciosa,1,1
Monasterio de Nuestra Señora de la Rueda,1,1
Monasterio de San Jerónimo de la Espeja,1,1
Monasterio de San Miguel de Morcuera,1,1
Monasterio de Nuestra Señora de Fresdelval,1,1
Monasterio de Nuestra Señora de la Armedilla,1,1
Monasterio de San Jerónimo de Valparaíso,1,1
Monasterio de San Jerónimo de Yuste,1,1
Monasterio de Corpus Christi,1,1
Monasterio de Nuestra Señora de Prado,1,1
Júcar,1,2
Valparaíso,1,1
Yuste,1,1
Isla de Hieros,1,1
Segre,1,1
San Isidro,1,1
Órbigo,1,1
Santo Domingo,1,1
Mulvia,1,1
Tenez,1,1
Almodóvar del Campo,1,1
Lara,1,1
Arlanzón,1,1
Villalón,1,1
Hacinas,1,1
Castroviejo,1,1
Yucatán,1,1
Darién,1,1
Monte Casino,1,1
Ravena,1,1
Novara,1,1
Terracina,1,1
Sorrento,1,1
Cumaná,1,1
Puente de Segovia,1,1
Puente de Alcántara,1,1
Santa Fe de Bogotá,1,1
Marañón,1,1
Conchinchina,1,1
Valenzuela,1,1
Serbia,1,1
Alarcón,1,1
Cafarnaú,1,1
Alentejo,1,1
Santa Olalla,1,1
Moratalla,1,1
Parda,1,1
Baena,1,1
Zahara,1,1
Marchena,1,1
Luque,1,1
Benijofar,1,1
Iglesia de Santa María,1,1
Convento de San Esteban,1,1
Puentes de Eume,1,1
Laguna Temerinda,1,1
Torres de Serranos,1,1
Ventillas,1,1
Vistillas,1,1
Plaza del Rocío,1,1
Plaza del Capitolio,1,1
Iglesia del Salvador,1,1
Espinosa de los Monteros,1,1
Cervera,1,1
Portohércules,1,1
Alcañiz,1,1
Douai,1,1
Coca,1,1
Torre de Mormojón,1,1
Castromocho,1,1
Baleares,1,1
Pulán,1,1
Cinto,1,1
Calle de Santa Cruz,1,1
calle de la Oliva,1,1
Calle de la Espada,1,1
Calle de San Francisco,1,1
Mostagán,1,1
Bozmar,1,1
Sierra de las Monas,1,1
Micalete,1,1
Bizanzón,1,1
Urueña,1,1
Crevillén,1,1
Elche,1,1
Angra,1,1
Cuzco,1,1
San Agustín,1,1
Convento de la Pasión,1,1
Islandia,1,1
Secuana,1,1
Sanderson,1,1
Estrecho de Magallanes,1,1
Turquestán,1,1
Frigia,1,1
Cilicia,1,1
Anauro,1,1
Cidno,1,1
Monferrate,1,1
Capadocia,1,1
Benifayó,1,1
Buniol,1,1
Nules,1,1
Ática,1,1
Convento de la Merced,1,1
Palmira,1,1
Lucena,1,1
Malinas,1,1
Navalcarnero,1,1
Lepe,1,1
Moncolibre,1,1
Habor,1,1
Gozán,1,1
Celesiria,1,1
Calle de la Flor,1,1
Etruria,1,1
Bizancio,1,1
Lipa,1,1
Dimel,1,1
Basilea,1,1
Beocia,1,1
Timbuctú,1,1
Castilguillermo,1,1
Aljarafe,1,1
Finmarquia,1,1
Misia,1,1
Campo de Marte,1,1
Roseto,1,1
Carpacio,1,1
Calle del Coso,1,1
Puerta de Cuarte,1,1
Sephor,1,1
Engaddí,1,1
Plaza de Palacio,1,1
Calle de la Cabeza,1,1
Peloponeso,1,1
Mutaceno,1,1
La Rambla,1,1
Pontevedra,1,1
Brest,1,1
Tejo,1,1
Rapariego,1,1
Mar Dalmacio,1,1
Torre de Hércules,1,1
San Pelayo de Samos,1,1
Castillo de Luna,1,1
Mondoñedo,1,1
Calle del Pez,1,1
Mar Caribe,1,1
Calle de las Armas,1,1
Calle de la Niña,1,1
Mantua Carpetánea,1,1
Navamuel,1,1
Valle de Toranzo,1,1
Ródano,1,1
Esquivias,1,1
Arganda,1,1
San Martín de la Vega,1,1
Tiraza,1,1
Chapela,1,1
Gost,1,1
La Fert,1,1
Pondelóu,1,1
Melí,1,1
Floro,1,1
Moravia,1,1
Lovaina,1,1
Nervi,1,1
Madeira,1,1
Gedrosía,1,1
Indo,1,1
La Guaira,1,1
Veragua,1,1
Pegú,1,1
Filabres,1,1
Aracena,1,1
La Gomera,1,1
Santaclara,1,1
La Roca,1,1
La Alegranza,1,1
La Graciosa,1,1
Lobo,1,1
Plaza de San Francisco,1,1
Utiel,1,1
Colombres,1,1
Játiva,1,1
Alzira,1,1
Rubicón,1,1
Benamejí,1,1
Órgiva,1,1
Atienza,1,1
Chafalonia,1,1
Puente de San Angelo,1,1
Castillo de Monroy,1,1
Aibar,1,1
Liza Fusina,1,1
Tordelaguna,1,1
Valle de Sagó,1,1
Han,1,1
Clari,1,1
Avirón,1,1
Mequinez,1,1
Barco de Ávila,1,1
Cabo de San Martín,1,1
Castillo de San Servando,1,1
Simancas,1,1
Flegra,1,1
Fuerteventura,1,1
Santa Marta,1,1
Plaza Nueva,1,1
Almarcha,1,1
Monasterio de San Payo,1,1
Pas,1,1
Bona,1,1
Almada,1,1
Almina,1,1
Esperanza,1,1
Quiloa,1,1
Ormuz,1,1
Yelbes,1,1
Platería,1,1
Villacayana,1,1
Fuenlabrada,1,1
Garrovillas,1,1
Quintanapalla,1,1
Aranda de Duero,1,1
Pasajes,1,1
Rentería,1,1
Behobia,1,1
Bistricia,1,1
Nandoralba,1,1
Campo Viminal,1,1
Monte Palatino,1,1
Monte Esquilino,1,1
Cabo de Paraguay,1,1
Villapalacios,1,1
Iglesia de San Justo,1,1
Daimiel,1,1
La Salceda,1,1
Convento de Firmo,1,1
Mar Hircano,1,1
Carmania,1,1
Cambaya,1,1
Escarpanto,1,1
Islas Escorzolares,1,1
San Damián,1,1
Bosna,1,1
Lonja,1,1
Mezquita de Córdoba,1,1
Lora,1,1
Guelgas,1,1
Hita,1,1
Puerto de Santa María,1,1
Alcalá del Río,1,1
La Alcarria,1,1
Lipari,1,1
Argelia,1,1
Caller,1,1
Mar Negro,1,1
San Petronio,1,1
Trento,1,1
Metz,1,1
Villalar,1,1
Gran Bretaña,1,1
Campania,1,1
Corpo Santo,1,1
San Pedro de Cardeña,1,1
Sayago,1,1
Puerta del Cambrón,1,1
Enchusén,1,1
Dunquerque,1,1
Marle,1,1
Bilbao,1,1
Puerta de Bebeceba,1,1
Mesuar,1,1
Cafi,1,1
Menorca,1,1
Salsas,1,1
Catarrocha,1,1
Albufera,1,1
Monasterio de la Murta,1,1
Puente del Real,1,1
Santo Domingo de Silos,1,1
Milagro,1,1
Ligeris,1,1
Circasia,1,1
Trasierra,1,1
Alcalá de los Gazules,1,1
Alanís,1,1
Estella,1,1
Gárgano,1,1
Golfo de las Yeguas,1,1
Laguna de Asfaltite,1,1
Alba de Aliste,1,1
Bresa,1,1
Meno,1,1
Tendilla,1,1
Sayago,1,1
Aguilafuente,1,1
Ardales,1,1
Frómista,1,1
Moya,1,1
Villamanrique,1,1
Auñón,1,1
Alcañices,1,1
Tábara,1,1
Malpica,1,1
Mota,1,1
Caramasa,1,1
La Puebla de los Infantes,1,1
Villanueva,1,1
Fuensaldaña,1,1
Olivares,1,1
Nieva,1,1
Osorno la Mayor,1,1
Arcos de la Frontera,1,1
Castro,1,1
Santiesteban,1,1
Villamediana,1,1
Aguilar,1,1
Siruela,1,1
Villanueva de Cañedo,1,1
Mayalde,1,1
Luna,1,1
Aramayona,1,1
Añover,1,1
Monteleón,1,1
Flores de Ávila,1,1
Albis,1,1
Arno,1,1
Guevara,1,1
Bolduque,1,1
Vitemberga,1,1
